title,authors,average_rating,language_code,publisher,tags
The Millionaire Next Door The Surprising Secrets of America s Wealthy,ThomasJ.Stanley/WilliamD.Danko,4.03,eng,GalleryBooks,"the millionaire next door the surprising secrets of america s wealthy,thomasj.stanley/williamd.danko,gallerybooks"
Think and Grow Rich The Landmark Bestseller Now Revised and Updated for the 21st Century,NapoleonHill,4.18,eng,Tarcherperigee,"think and grow rich the landmark bestseller now revised and updated for the 21st century,napoleonhill,tarcherperigee"
Think and Grow Rich,NapoleonHill,4.18,eng,HighRoadsMedia,"think and grow rich,napoleonhill,highroadsmedia"
Pragmatic Version Control Using Subversion The Pragmatic Starter Kit Series ,MikeMason,3.58,eng,PragmaticBookshelf,"pragmatic version control using subversion the pragmatic starter kit series ,mikemason,pragmaticbookshelf"
Read My Lips Sexual Subversion and the End of Gender,RikiAnneWilchins,3.95,en-US,FirebrandBooks,"read my lips sexual subversion and the end of gender,rikiannewilchins,firebrandbooks"
Trump The Art of the Deal,DonaldJ.Trump/TonySchwartz,3.66,en-US,BallantineBooks,"trump the art of the deal,donaldj.trump/tonyschwartz,ballantinebooks"
The Richest Man in Babylon,GeorgeS.Clason,4.26,eng,BerkleyBooks,"the richest man in babylon,georges.clason,berkleybooks"
The Richest Man in Babylon,GeorgeS.Clason,4.26,eng,RecordedBooksInc.,"the richest man in babylon,georges.clason,recordedbooksinc."
Shibumi,Trevanian/GiselaStege,4.21,eng,BroadwayBooks,"shibumi,trevanian/giselastege,broadwaybooks"
1776,DavidMcCullough,4.07,eng,SimonSchuster,"1776,davidmccullough,simonschuster"
1776,PeterStone/ShermanEdwards,4.22,eng,PenguinBooks,"1776,peterstone/shermanedwards,penguinbooks"
The Crescent Obscured The United States and the Muslim World 1776 1815,RobertJ.Allison,3.62,eng,UniversityofChicagoPress,"the crescent obscured the united states and the muslim world 1776 1815,robertj.allison,universityofchicagopress"
The Good Earth House of Earth  1 ,PearlS.Buck,3.98,eng,HowardPublishingCo,"the good earth house of earth  1 ,pearls.buck,howardpublishingco"
Purpose Driven Life  For Commuters What on Earth Am I Here For ,RickWarren,3.93,eng,Zondervan,"purpose driven life  for commuters what on earth am i here for ,rickwarren,zondervan"
Fast Food Nation The Dark Side of the All American Meal,EricSchlosser,3.74,eng,HarperPerennial,"fast food nation the dark side of the all american meal,ericschlosser,harperperennial"
Fast Food Nation What The All American Meal is Doing to the World,EricSchlosser,3.74,eng,PenguinBooks,"fast food nation what the all american meal is doing to the world,ericschlosser,penguinbooks"
Snow Flower and the Secret Fan,LisaSee,4.07,eng,RandomHouse,"snow flower and the secret fan,lisasee,randomhouse"
The Broker,JohnGrisham,3.78,eng,Delta,"the broker,johngrisham,delta"
The Power Broker Robert Moses and the Fall of New York,RobertA.Caro,4.51,eng,Vintage,"the power broker robert moses and the fall of new york,roberta.caro,vintage"
The Power Broker A Novel Christian Gillette  3 ,StephenW.Frey,3.75,eng,BallantineBooks,"the power broker a novel christian gillette  3 ,stephenw.frey,ballantinebooks"
Body For Life 12 Weeks to Mental and Physical Strength,BillPhillips/MichaelD'Orso,3.74,en-US,HarperCollinsPublishersInc.,"body for life 12 weeks to mental and physical strength,billphillips/michaeld'orso,harpercollinspublishersinc."
Body for Life for Women A Woman s Plan for Physical and Mental Transformation,PamelaPeeke/CindyCrawford,3.65,en-US,RodaleBooks,"body for life for women a woman s plan for physical and mental transformation,pamelapeeke/cindycrawford,rodalebooks"
Eating for Life Your Guide to Great Health Fat Loss and Increased Energy ,BillPhillips,3.95,eng,HighPointMedia,"eating for life your guide to great health fat loss and increased energy ,billphillips,highpointmedia"
The Warren Buffett Way,RobertG.Hagstrom/BillMiller/KennethL.Fisher,4.13,en-US,JohnWiley&Sons,"the warren buffett way,robertg.hagstrom/billmiller/kennethl.fisher,johnwiley&sons"
The Warren Buffett CEO Secrets from the Berkshire Hathaway Managers,RobertP.Miles/TomOsborne,4.07,eng,Wiley,"the warren buffett ceo secrets from the berkshire hathaway managers,robertp.miles/tomosborne,wiley"
Monkey Business True Story of the Scopes Trial,MarvinN.Olasky/JohnR.Perry,3.15,eng,BBooks,"monkey business true story of the scopes trial,marvinn.olasky/johnr.perry,bbooks"
Junie B Jones and a Little Monkey Business Junie B Jones  2 ,BarbaraPark/DeniseBrunkus,3.99,en-US,RandomHouseBooksforYoungReaders,"junie b jones and a little monkey business junie b jones  2 ,barbarapark/denisebrunkus,randomhousebooksforyoungreaders"
Monkey Business,SarahMlynowski,3.67,eng,RedDressInk,"monkey business,sarahmlynowski,reddressink"
Liar s Poker,MichaelLewis,4.15,eng,PenguinBooks,"liar s poker,michaellewis,penguinbooks"
Liar s Poker A Harry Garnish Mystery,FrankMcConnell,3.31,eng,Walker&Company,"liar s poker a harry garnish mystery,frankmcconnell,walker&company"
Risotto 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,UrsulaFerrigno/JasonLowe/MaxineClark,4.08,eng,RylandPeters&Small,"risotto 30 simply delicious vegetarian recipes from an italian kitchen,ursulaferrigno/jasonlowe/maxineclark,rylandpeters&small"
Giada s Family Dinners,GiadaDeLaurentiis/VictoriaPearson,3.96,eng,ClarksonPotter,"giada s family dinners,giadadelaurentiis/victoriapearson,clarksonpotter"
Everyday Italian 125 Simple and Delicious Recipes,GiadaDeLaurentiis,3.95,eng,ClarksonPotter,"everyday italian 125 simple and delicious recipes,giadadelaurentiis,clarksonpotter"
Everyday Pasta,GiadaDeLaurentiis/VictoriaPearson,4.09,eng,ClarksonPotter,"everyday pasta,giadadelaurentiis/victoriapearson,clarksonpotter"
Tyler s Ultimate Brilliant Simple Food to Make Any Time,TylerFlorence/PetrinaTinslay,4.09,eng,ClarksonPotter,"tyler s ultimate brilliant simple food to make any time,tylerflorence/petrinatinslay,clarksonpotter"
Tyler Florence s Real Kitchen An Indespensible Guide for Anybody Who Likes to Cook,TylerFlorence/JoAnnCianciulli/BillBettencourt/BobbyFlay,4.06,eng,ClarksonPotterPublishers,"tyler florence s real kitchen an indespensible guide for anybody who likes to cook,tylerflorence/joanncianciulli/billbettencourt/bobbyflay,clarksonpotterpublishers"
Eat This Book Cooking with Global Fresh Flavors,TylerFlorence/PetrinaTinslay,3.92,eng,ClarksonPotterPublishers,"eat this book cooking with global fresh flavors,tylerflorence/petrinatinslay,clarksonpotterpublishers"
Freakonomics A Rogue Economist Explores the Hidden Side of Everything,StevenD.Levitt/StephenJ.Dubner,3.97,eng,WilliamMorrow,"freakonomics a rogue economist explores the hidden side of everything,stevend.levitt/stephenj.dubner,williammorrow"
Freakonomics Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,StevenD.Levitt/StephenJ.Dubner,3.97,spa,EdicionesB,"freakonomics un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,stevend.levitt/stephenj.dubner,edicionesb"
Freakonomics A Rogue Economist Explores the Hidden Side of Everything,StevenD.Levitt/StephenJ.Dubner,3.97,en-US,Harper,"freakonomics a rogue economist explores the hidden side of everything,stevend.levitt/stephenj.dubner,harper"
The Last Assassin John Rain  5 ,BarryEisler,4.27,eng,PutnamPublishingGroup,"the last assassin john rain  5 ,barryeisler,putnampublishinggroup"
Life of Pi,YannMartel,3.91,en-US,MarinerBooks/HarvestBooks,"life of pi,yannmartel,marinerbooks/harvestbooks"
L Histoire de Pi,YannMartel/NicoleMartel/EmileMartel,3.91,fre,Gallimard,"l histoire de pi,yannmartel/nicolemartel/emilemartel,gallimard"
Shadows and Wind A View of Modern Vietnam,RobertTempler,3.49,eng,PenguinBooks,"shadows and wind a view of modern vietnam,roberttempler,penguinbooks"
A Million Little Pieces,JamesFrey,3.65,eng,AnchorBooks,"a million little pieces,jamesfrey,anchorbooks"
A Million Little Pieces of Feces,PythonBonkers,3.56,en-US,Lulu.com,"a million little pieces of feces,pythonbonkers,lulu.com"
A Million Little Lies,JamesPinocchio/PabloFenjves,3.41,en-US,WilliamMorrowPaperbacks,"a million little lies,jamespinocchio/pablofenjves,williammorrowpaperbacks"
The Leadership Challenge,JamesM.Kouzes/BarryZ.Posner,4.05,en-US,Jossey-Bass,"the leadership challenge,jamesm.kouzes/barryz.posner,jossey-bass"
Lincoln on Leadership Executive Strategies for Tough Times,DonaldT.Phillips,4.14,eng,BusinessPlus,"lincoln on leadership executive strategies for tough times,donaldt.phillips,businessplus"
Leadership in Organizations,GaryYukl,3.68,en-GB,PrenticeHall,"leadership in organizations,garyyukl,prenticehall"
Leadership,RudolphW.Giuliani,3.72,eng,LittleBrown,"leadership,rudolphw.giuliani,littlebrown"
Men Are from Mars Women Are from Venus,JohnGray,3.55,eng,HarperPaperbacks,"men are from mars women are from venus,johngray,harperpaperbacks"
Mars and Venus Book of Days 365 Inspriations to Enrich Your Relationships,JohnGray,3.62,en-US,Harper,"mars and venus book of days 365 inspriations to enrich your relationships,johngray,harper"
Men Are from Mars Women Are from Venus,JohnGray,3.55,eng,HarperAudio,"men are from mars women are from venus,johngray,harperaudio"
How to Succeed with Women,RonLouis/DavidCopeland,3.76,en-US,PrenticeHallPress,"how to succeed with women,ronlouis/davidcopeland,prenticehallpress"
The Clan of the Cave Bear Earth s Children  1 ,JeanM.Auel,4.05,eng,Bantam,"the clan of the cave bear earth s children  1 ,jeanm.auel,bantam"
The Clan of the Cave Bear Earth s Children  1 ,JeanM.Auel,4.05,eng,CrownPublishingGroup,"the clan of the cave bear earth s children  1 ,jeanm.auel,crownpublishinggroup"
Moneyball The Art of Winning an Unfair Game,MichaelLewis,4.26,eng,W.W.NortonCompany,"moneyball the art of winning an unfair game,michaellewis,w.w.nortoncompany"
Juiced Official Strategy Guide,DougWalsh,0.0,eng,BradyGames,"juiced official strategy guide,dougwalsh,bradygames"
The 48 Laws of Power,RobertGreene/JoostElffers,4.18,eng,Penguin(Business),"the 48 laws of power,robertgreene/joostelffers,penguin(business)"
Gates of Fire,StevenPressfield,4.42,eng,Bantam,"gates of fire,stevenpressfield,bantam"
Fire Sea The Death Gate Cycle  3 ,MargaretWeis/TracyHickman,4.07,eng,SpectraBooks,"fire sea the death gate cycle  3 ,margaretweis/tracyhickman,spectrabooks"
The Gate of Fire Oath Of Empire Book Two ,ThomasHarlan,3.58,en-US,TorClassics,"the gate of fire oath of empire book two ,thomasharlan,torclassics"
The Afghan Campaign,StevenPressfield,3.96,eng,DoubledayBooks,"the afghan campaign,stevenpressfield,doubledaybooks"
Tides of War,StevenPressfield,3.9,eng,Bantam,"tides of war,stevenpressfield,bantam"
Last of the Amazons,StevenPressfield,3.76,eng,Bantam,"last of the amazons,stevenpressfield,bantam"
The War of Art Break Through the Blocks  Win Your Inner Creative Battles,StevenPressfield/RobertMcKee,4.0,eng,WarnerBooks,"the war of art break through the blocks  win your inner creative battles,stevenpressfield/robertmckee,warnerbooks"
Gita on the Green,StephenJ.Rosen/StevenPressfield,3.78,en-US,Continuum,"gita on the green,stephenj.rosen/stevenpressfield,continuum"
Blood Stripes The Grunt s View of the War in Iraq,DavidJ.Danelo/StevenPressfield,3.91,eng,StackpoleBooks,"blood stripes the grunt s view of the war in iraq,davidj.danelo/stevenpressfield,stackpolebooks"
Phaedrus and Letters VII and VIII,Plato/WalterHamilton,4.1,en-US,PenguinClassics,"phaedrus and letters vii and viii,plato/walterhamilton,penguinclassics"
Phaedrus,Plato/RobinWaterfield,3.92,eng,OxfordUniversityPressUSA,"phaedrus,plato/robinwaterfield,oxforduniversitypressusa"
Phaedrus,Plato/C.J.Rowe,3.92,eng,PenguinClassics,"phaedrus,plato/c.j.rowe,penguinclassics"
Lysis Phaedrus Symposium Plato on Homosexuality,Plato/BenjaminJowett,4.47,eng,PrometheusBooks,"lysis phaedrus symposium plato on homosexuality,plato/benjaminjowett,prometheusbooks"
Enthusiasm and Divine Madness,JosefPieper/RichardWinston/ClaraWinston,4.5,eng,St.AugustinesPress,"enthusiasm and divine madness,josefpieper/richardwinston/clarawinston,st.augustinespress"
On Love Lysis Symposium Phaedrus Alcibiades Selections from Republic  Laws,Plato/C.D.C.Reeve,4.06,eng,HackettPublishingCompanyInc.,"on love lysis symposium phaedrus alcibiades selections from republic  laws,plato/c.d.c.reeve,hackettpublishingcompanyinc."
Gorgias Phaedrus Agora ,Plato/JamesH.NicholsJr.,4.35,eng,CornellUniversityPress,"gorgias phaedrus agora ,plato/jamesh.nicholsjr.,cornelluniversitypress"
Statesman,Plato/C.J.Rowe,3.85,eng,HackettPublishingCompanyInc.,"statesman,plato/c.j.rowe,hackettpublishingcompanyinc."
Gorgias,Plato/WalterHamilton/ChrisEmlyn-Jones,3.95,en-GB,PenguinClassics,"gorgias,plato/walterhamilton/chrisemlyn-jones,penguinclassics"
The Histories,Herodotus/AubreydeSélincourt/JohnM.Marincola,3.99,eng,PenguinBooks,"the histories,herodotus/aubreydesélincourt/johnm.marincola,penguinbooks"
The Histories,Herodotus/AubreydeSélincourt/JohnM.Marincola,3.99,eng,PenguinClassics,"the histories,herodotus/aubreydesélincourt/johnm.marincola,penguinclassics"
The History Great Minds ,Herodotus/HenryFrancisCary,3.99,en-US,PrometheusBooks,"the history great minds ,herodotus/henryfranciscary,prometheusbooks"
The Histories,Herodotus/CarolynDewald/RobinWaterfield,3.99,eng,OxfordUniversityPress,"the histories,herodotus/carolyndewald/robinwaterfield,oxforduniversitypress"
The Histories,Herodotus/AubreydeSélincourt/AndrewRobertBurn,3.99,en-US,PenguinClassics,"the histories,herodotus/aubreydesélincourt/andrewrobertburn,penguinclassics"
The Histories,Herodotus/JenniferTolbertRoberts/WalterBlanco,3.99,en-US,W.W.Norton&Company,"the histories,herodotus/jennifertolbertroberts/walterblanco,w.w.norton&company"
The Histories,Herodotus/EdwardHenryBlakeney/GeorgeRawlinson/RosalindThomas,3.99,en-US,Everyman'sLibrary234,"the histories,herodotus/edwardhenryblakeney/georgerawlinson/rosalindthomas,everyman'slibrary234"
The History,Herodotus/PeterGrene,3.99,en-US,UniversityofChicagoPress,"the history,herodotus/petergrene,universityofchicagopress"
The Iliad,Homer/RobertFagles/BernardKnox,3.86,eng,PenguinClassics,"the iliad,homer/robertfagles/bernardknox,penguinclassics"
Iliad,Homer/StanleyLombardo/SheilaMurnaghan,3.86,en-US,HackettPublishingCompanyInc.,"iliad,homer/stanleylombardo/sheilamurnaghan,hackettpublishingcompanyinc."
The Iliad,Homer/RobertFitzgerald/AndrewFord,3.86,en-US,FarrarStrausandGiroux,"the iliad,homer/robertfitzgerald/andrewford,farrarstrausandgiroux"
The Iliad The Odyssey,Homer/RobertFagles/BernardKnox,4.04,eng,PenguinClassics,"the iliad the odyssey,homer/robertfagles/bernardknox,penguinclassics"
The Iliad,Homer/E.V.Rieu/PeterJones/D.C.H.Rieu,3.86,eng,PenguinClassics,"the iliad,homer/e.v.rieu/peterjones/d.c.h.rieu,penguinclassics"
The Iliad,Homer/W.H.D.Rouse,3.86,en-US,SignetClassics,"the iliad,homer/w.h.d.rouse,signetclassics"
The Essential Iliad,Homer/SheilaMurnaghan/StanleyLombardo,3.86,en-US,HackettPublishingCompanyInc.,"the essential iliad,homer/sheilamurnaghan/stanleylombardo,hackettpublishingcompanyinc."
The Odyssey,Homer/RobertFagles/BernardKnox,3.76,eng,PenguinClassics,"the odyssey,homer/robertfagles/bernardknox,penguinclassics"
The Odyssey,Homer/RobertFitzgerald/D.S.Carne-Ross,3.76,eng,FarrarStrausandGiroux,"the odyssey,homer/robertfitzgerald/d.s.carne-ross,farrarstrausandgiroux"
The Odyssey,Homer/RichmondLattimore,3.76,eng,HarperPerennial,"the odyssey,homer/richmondlattimore,harperperennial"
The Odyssey,Homer/E.V.Rieu/PeterJones/D.C.H.Rieu,3.76,eng,PenguinClassics,"the odyssey,homer/e.v.rieu/peterjones/d.c.h.rieu,penguinclassics"
The Odyssey,Homer/W.H.D.Rouse,3.76,eng,SignetClassics,"the odyssey,homer/w.h.d.rouse,signetclassics"
Aeneid Selections from Books 1 2 4 6 10 12,Virgil/BarbaraWeidenBoyd,4.35,eng,Bolchazy-CarducciPublishers,"aeneid selections from books 1 2 4 6 10 12,virgil/barbaraweidenboyd,bolchazy-carduccipublishers"
Eclogues Georgics Aeneid Books 1 6,Virgil/HenryRushtonFairclough/G.P.Goold,4.22,mul,HarvardUniversityPress,"eclogues georgics aeneid books 1 6,virgil/henryrushtonfairclough/g.p.goold,harvarduniversitypress"
City Eclogue,EdRoberson,4.13,eng,AtelosPress,"city eclogue,edroberson,atelospress"
The Eclogues and The Georgics,Virgil/CecilDay-Lewis,3.8,eng,OxfordUniversityPress,"the eclogues and the georgics,virgil/cecilday-lewis,oxforduniversitypress"
Paul Kirk s Championship Barbecue Sauces 175 Make Your Own Sauces Marinades Dry Rubs Wet Rubs Mops and Salsas,PaulKirk,3.94,eng,HarvardCommonPress,"paul kirk s championship barbecue sauces 175 make your own sauces marinades dry rubs wet rubs mops and salsas,paulkirk,harvardcommonpress"
The Complete Pelican Shakespeare,WilliamShakespeare/StephenOrgel/A.R.Braunmuller,4.5,eng,Viking,"the complete pelican shakespeare,williamshakespeare/stephenorgel/a.r.braunmuller,viking"
The Complete Works,WilliamShakespeare,4.5,eng,Gramercy,"the complete works,williamshakespeare,gramercy"
Hamlet,WilliamShakespeare/HaroldBloom/RexGibson,4.02,eng,CambridgeUniversityPress,"hamlet,williamshakespeare/haroldbloom/rexgibson,cambridgeuniversitypress"
The Compleat Works of Wllm Shkspr abridged ,ReducedShakespeareCompany/AdamLong/DanielSinger/JessWinfield,4.44,eng,ApplauseBooks,"the compleat works of wllm shkspr abridged ,reducedshakespearecompany/adamlong/danielsinger/jesswinfield,applausebooks"
The Pilgrimage A Contemporary Quest for Ancient Wisdom,PauloCoelho/AlanR.Clarke,3.64,en-US,HarperOne,"the pilgrimage a contemporary quest for ancient wisdom,paulocoelho/alanr.clarke,harperone"
The Valkyries,PauloCoelho/AlanR.Clarke,3.31,en-US,HarperOne,"the valkyries,paulocoelho/alanr.clarke,harperone"
Warrior of the Light,PauloCoelho,3.7,en-US,HarperOne,"warrior of the light,paulocoelho,harperone"
The Zahir,PauloCoelho/MargaretJullCosta,3.57,eng,HarperOne,"the zahir,paulocoelho/margaretjullcosta,harperone"
By the River Piedra I Sat Down and Wept,PauloCoelho/AlanR.Clarke,3.57,eng,HarperOne,"by the river piedra i sat down and wept,paulocoelho/alanr.clarke,harperone"
The Fifth Mountain,PauloCoelho/CliffordE.Landers,3.62,en-US,HarperOne,"the fifth mountain,paulocoelho/clifforde.landers,harperone"
Veronika Decides to Die,PauloCoelho/MargaretJullCosta/KâmuranŞipal,3.7,eng,HarperPerennial,"veronika decides to die,paulocoelho/margaretjullcosta/kâmuranşipal,harperperennial"
Hamlet,WilliamShakespeare/StephenOrgel/A.R.Braunmuller,4.02,eng,PenguinBooks,"hamlet,williamshakespeare/stephenorgel/a.r.braunmuller,penguinbooks"
Cliffs Notes on Shakespeare s Hamlet,CarlaLynnStockton,3.69,en-US,CliffsNotes,"cliffs notes on shakespeare s hamlet,carlalynnstockton,cliffsnotes"
Shakespeare s Hamlet,WilliamShakespeare/TerriMategrano,4.02,eng,CliffsNotes,"shakespeare s hamlet,williamshakespeare/terrimategrano,cliffsnotes"
Hamlet s Mill An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,GiorgioDeSantillana/HerthaVonDechend,4.29,eng,NonpareilBooks,"hamlet s mill an essay investigating the origins of human knowledge and its transmission through myth,giorgiodesantillana/herthavondechend,nonpareilbooks"
History of the Peloponnesian War Bk 1 2,Thucydides/C.F.Smith,4.32,mul,HarvardUniversityPress,"history of the peloponnesian war bk 1 2,thucydides/c.f.smith,harvarduniversitypress"
On Justice Power and Human Nature Selections from The History of the Peloponnesian War,Thucydides/PaulWoodruff,3.72,eng,HackettPublishingCompanyInc.,"on justice power and human nature selections from the history of the peloponnesian war,thucydides/paulwoodruff,hackettpublishingcompanyinc."
History of the Peloponnesian War Bk 5 6,Thucydides/C.F.Smith,4.35,mul,HarvardUniversityPress,"history of the peloponnesian war bk 5 6,thucydides/c.f.smith,harvarduniversitypress"
The Peloponnesian War,Thucydides/StevenLattimore,3.9,eng,HackettPublishingCompanyInc.,"the peloponnesian war,thucydides/stevenlattimore,hackettpublishingcompanyinc."
The Peloponnesian War A New Translation Backgrounds Interpretations,Thucydides/JenniferTolbertRoberts/WalterBlanco,3.9,eng,W.W.Norton&Company,"the peloponnesian war a new translation backgrounds interpretations,thucydides/jennifertolbertroberts/walterblanco,w.w.norton&company"
History of the Peloponnesian War Bk 7 8,Thucydides/C.F.Smith,4.29,eng,HarvardUniversityPress,"history of the peloponnesian war bk 7 8,thucydides/c.f.smith,harvarduniversitypress"
Thucydides Book 6 Commentary,CynthiaW.Shelmerdine,4.5,eng,BrynMawrCommentaries,"thucydides book 6 commentary,cynthiaw.shelmerdine,brynmawrcommentaries"
Euripides I Alcestis  The Medea  The Heracleidae  Hippolytus,Euripides/RichmondLattimore/DavidGrene/RexWarner/RalphGladstone,4.03,eng,UniversityofChicagoPress,"euripides i alcestis  the medea  the heracleidae  hippolytus,euripides/richmondlattimore/davidgrene/rexwarner/ralphgladstone,universityofchicagopress"
Euripides V Electra  The Phoenician Women  The Bacchae,Euripides/DavidGrene/RichmondLattimore/EmilyTownsendVermeule/ElizabethWyckoff/WilliamArrowsmith,4.21,eng,UniversityofChicagoPress,"euripides v electra  the phoenician women  the bacchae,euripides/davidgrene/richmondlattimore/emilytownsendvermeule/elizabethwyckoff/williamarrowsmith,universityofchicagopress"
Euripides IV Rhesus  The Suppliant Women  Orestes  Iphigenia in Aulis,Euripides/DavidGrene/RichmondLattimore/WilliamArrowsmith/FrankWilliamJones/CharlesR.Walker,4.21,eng,UniversityofChicagoPress,"euripides iv rhesus  the suppliant women  orestes  iphigenia in aulis,euripides/davidgrene/richmondlattimore/williamarrowsmith/frankwilliamjones/charlesr.walker,universityofchicagopress"
Grief Lessons Four Plays by Euripides,AnneCarson/Euripides,4.4,eng,NewYorkReviewofBooks,"grief lessons four plays by euripides,annecarson/euripides,newyorkreviewofbooks"
Ten Plays,Euripides/MosesHadas/JohnMaclean,4.17,en-US,BantamClassics,"ten plays,euripides/moseshadas/johnmaclean,bantamclassics"
Euripides III Hecuba  Andromache  The Trojan Women  Ion Complete Greek Tragedies  7 ,Euripides/DavidGrene/RichmondLattimore/WilliamArrowsmith/JohnFrederickNims/RonaldFrederickWilletts,4.0,eng,UniversityofChicagoPress,"euripides iii hecuba  andromache  the trojan women  ion complete greek tragedies  7 ,euripides/davidgrene/richmondlattimore/williamarrowsmith/johnfredericknims/ronaldfrederickwilletts,universityofchicagopress"
Euripides II The Cyclops  Heracles  Iphigenia in Tauris  Helen,Euripides/DavidGrene/RichmondLattimore/WitterBynner/WilliamArrowsmith,4.31,eng,UniversityofChicagoPress,"euripides ii the cyclops  heracles  iphigenia in tauris  helen,euripides/davidgrene/richmondlattimore/witterbynner/williamarrowsmith,universityofchicagopress"
Medea and Other Plays,Euripides/JohnDavie/RichardRutherford,4.03,eng,PenguinBooks,"medea and other plays,euripides/johndavie/richardrutherford,penguinbooks"
Cyclops  Alcestis  Medea,Euripides/DavidKovacs,4.23,mul,LoebClassicalLibrary,"cyclops  alcestis  medea,euripides/davidkovacs,loebclassicallibrary"
Medea,Euripides/DonaldJ.Mastronarde,3.87,grc,CambridgeUniversityPress,"medea,euripides/donaldj.mastronarde,cambridgeuniversitypress"
The Bacchae and Other Plays,Euripides/JohnDavie/RichardRutherford,4.14,eng,PenguinClassics,"the bacchae and other plays,euripides/johndavie/richardrutherford,penguinclassics"
Bakkhai,Euripides/ReginaldGibbons/PeterH.Burian,3.88,eng,OxfordUniversityPressUSA,"bakkhai,euripides/reginaldgibbons/peterh.burian,oxforduniversitypressusa"
Plays 1 Medea The Phoenician Women Bacchae,Euripides/DavidThompson/J.MichaelWalton,3.78,eng,BloomsburyMethuenDrama,"plays 1 medea the phoenician women bacchae,euripides/davidthompson/j.michaelwalton,bloomsburymethuendrama"
The Trojan Women and Hippolytus,Euripides,3.63,eng,DoverPublications,"the trojan women and hippolytus,euripides,doverpublications"
The Bacchae of Euripides A Communion Rite,WoleSoyinka,3.86,eng,W.W.NortonCompany,"the bacchae of euripides a communion rite,wolesoyinka,w.w.nortoncompany"
Orestes and Other Plays,Euripides/JamesMorwood/RobinWaterfield,4.1,eng,OxfordUniversityPress,"orestes and other plays,euripides/jamesmorwood/robinwaterfield,oxforduniversitypress"
Children of Heracles  Hippolytus  Andromache  Hecuba,Euripides/DavidKovacs,4.26,mul,LoebClassicalLibrary,"children of heracles  hippolytus  andromache  hecuba,euripides/davidkovacs,loebclassicallibrary"
Alcestis,Euripides/WilliamArrowsmith,3.83,eng,OxfordUniversityPressUSA,"alcestis,euripides/williamarrowsmith,oxforduniversitypressusa"
Suppliant Women  Electra  Heracles,Euripides/DavidKovacs,4.47,mul,LoebClassicalLibrary,"suppliant women  electra  heracles,euripides/davidkovacs,loebclassicallibrary"
Medea,Euripides/GeorgiaAnnMachemer/MichaelCollier,3.87,eng,OxfordUniversityPressUSA,"medea,euripides/georgiaannmachemer/michaelcollier,oxforduniversitypressusa"
Euripides Medea,WilliamAllan,4.04,eng,BristolClassicalPress,"euripides medea,williamallan,bristolclassicalpress"
CliffsNotes on Euripides Medea and Electra,RobertJ.Milch,4.2,eng,CliffsNotes,"cliffsnotes on euripides medea and electra,robertj.milch,cliffsnotes"
Trojan Women  Iphigenia Among the Taurians  Ion,Euripides/DavidKovacs,4.03,mul,LoebClassicalLibrary,"trojan women  iphigenia among the taurians  ion,euripides/davidkovacs,loebclassicallibrary"
Helen  Phoenician Women  Orestes,Euripides/DavidKovacs,4.07,mul,LoebClassicalLibrary,"helen  phoenician women  orestes,euripides/davidkovacs,loebclassicallibrary"
Euripides Iphigenia at Aulis Companions to Greek  Roman Tragedy ,Euripides/PantelisMichelakis,4.03,eng,BristolClassicalPress,"euripides iphigenia at aulis companions to greek  roman tragedy ,euripides/pantelismichelakis,bristolclassicalpress"
The Complete Greek Tragedies Volume 3 Euripides,Euripides/DavidGrene/RichmondLattimore,4.43,eng,UniversityofChicagoPress,"the complete greek tragedies volume 3 euripides,euripides/davidgrene/richmondlattimore,universityofchicagopress"
Aeschylus I Oresteia Agamemnon The Libation Bearers The Eumenides ,Aeschylus/DavidGrene/RichmondLattimore,4.02,en-US,UniversityofChicagoPress,"aeschylus i oresteia agamemnon the libation bearers the eumenides ,aeschylus/davidgrene/richmondlattimore,universityofchicagopress"
Aeschylus II The Suppliant Maidens The Persians Seven against Thebes and Prometheus Bound The Complete Greek Tragedies ,Aeschylus/DavidGrene/RichmondLattimore/SethBenardete,4.1,eng,UniversityofChicagoPress,"aeschylus ii the suppliant maidens the persians seven against thebes and prometheus bound the complete greek tragedies ,aeschylus/davidgrene/richmondlattimore/sethbenardete,universityofchicagopress"
The Oresteia,Aeschylus/AlanShapiro/PeterH.Burian,4.02,eng,OxfordUniversityPressUSA,"the oresteia,aeschylus/alanshapiro/peterh.burian,oxforduniversitypressusa"
The Oresteia Agamemnon The Libation Bearers The Eumenides,Aeschylus/RobertFagles/WilliamBedellStanford,4.02,eng,PenguinClassics,"the oresteia agamemnon the libation bearers the eumenides,aeschylus/robertfagles/williambedellstanford,penguinclassics"
Oresteia,Aeschylus/PeterMeineck/HeleneP.Foley,4.02,eng,HackettPublishingCompanyInc.,"oresteia,aeschylus/petermeineck/helenep.foley,hackettpublishingcompanyinc."
Prometheus Bound and Other Plays,Aeschylus/PhilipVellacott,4.1,eng,PenguinBooks,"prometheus bound and other plays,aeschylus/philipvellacott,penguinbooks"
The Oresteia,Aeschylus/TedHughes,4.02,en-US,FarrarStrausandGiroux,"the oresteia,aeschylus/tedhughes,farrarstrausandgiroux"
